Curs Acadèmic,Tipus universitat,Sigles,Tipus Estudi,Branca,Sexe,Integrat S/N,Taxa rendiment,% Abandonament a primer curs
19-20,PRIVADA,UAO,grau,Ciències de la salut,DONA,Integrat,0.950885208452313,0.0517241379310345
19-20,PRIVADA,UAO,grau,Ciències de la salut,HOME,Integrat,0.916161616161616,0.0
19-20,PRIVADA,UAO,grau,Ciències socials i jurídiques,DONA,Integrat,0.9407018354233173,0.058753968253968246
19-20,PRIVADA,UAO,grau,Ciències socials i jurídiques,HOME,Integrat,0.9142593826874811,0.06136686558681443
19-20,PRIVADA,UAO,màster universitari,Ciències de la salut,DONA,Integrat,0.732342007434944,0.0
19-20,PRIVADA,UAO,màster universitari,Ciències de la salut,HOME,Integrat,0.827586206896552,0.0
19-20,PRIVADA,UAO,màster universitari,Ciències socials i jurídiques,DONA,Integrat,0.8923447275639604,0.15916144041144037
19-20,PRIVADA,UAO,màster universitari,Ciències socials i jurídiques,HOME,Integrat,0.824267585283307,0.25739518633540365
19-20,PRIVADA,UIC,grau,Arts i humanitats,DONA,Integrat,0.903711133400201,0.166666666666667
19-20,PRIVADA,UIC,grau,Arts i humanitats,HOME,Integrat,0.881987577639752,0.166666666666667
19-20,PRIVADA,UIC,grau,Ciències de la salut,DONA,Integrat,0.9526470461368278,0.038120613400890485
19-20,PRIVADA,UIC,grau,Ciències de la salut,HOME,Integrat,0.9258403178129396,0.060920250846605954
19-20,PRIVADA,UIC,grau,Ciències socials i jurídiques,DONA,Integrat,0.9443594562755776,0.0845676314013362
19-20,PRIVADA,UIC,grau,Ciències socials i jurídiques,HOME,Integrat,0.9112758953916857,0.11942246945534496
19-20,PRIVADA,UIC,grau,Enginyeria i arquitectura,DONA,Integrat,0.916668123441251,0.106060606060606
19-20,PRIVADA,UIC,grau,Enginyeria i arquitectura,HOME,Integrat,0.8867685900607275,0.1521739130434785
19-20,PRIVADA,UIC,màster universitari,Ciències de la salut,DONA,Integrat,0.9828142029061168,0.03839328373489865
19-20,PRIVADA,UIC,màster universitari,Ciències de la salut,HOME,Integrat,0.9719667318982388,0.03809523809523814
19-20,PRIVADA,UIC,màster universitari,Ciències socials i jurídiques,DONA,Integrat,0.9959266802443991,0.1457142857142858
19-20,PRIVADA,UIC,màster universitari,Ciències socials i jurídiques,HOME,Integrat,0.9898908603133956,0.1881159420289856
19-20,PRIVADA,UIC,màster universitari,Enginyeria i arquitectura,DONA,Integrat,0.984422110552764,0.02941176470588235
19-20,PRIVADA,UIC,màster universitari,Enginyeria i arquitectura,HOME,Integrat,1.0,0.1
19-20,PRIVADA,URL,grau,Arts i humanitats,DONA,Adscrit,0.898771072947849,0.289156626506024
19-20,PRIVADA,URL,grau,Arts i humanitats,DONA,Integrat,0.823024218417976,0.16682330827067676
19-20,PRIVADA,URL,grau,Arts i humanitats,HOME,Adscrit,0.760905840286055,0.5
19-20,PRIVADA,URL,grau,Arts i humanitats,HOME,Integrat,0.9153140235343092,0.025
19-20,PRIVADA,URL,grau,Ciències,DONA,Integrat,0.9043759502378426,0.0285714285714286
19-20,PRIVADA,URL,grau,Ciències,HOME,Integrat,0.895092602198811,0.0588235294117647
19-20,PRIVADA,URL,grau,Ciències de la salut,DONA,Integrat,0.8981803100735317,0.07101760475073826
19-20,PRIVADA,URL,grau,Ciències de la salut,HOME,Integrat,0.8666216952189889,0.12385093602361676
19-20,PRIVADA,URL,grau,Ciències socials i jurídiques,DONA,Integrat,0.9473297400564986,0.0762418440961703
19-20,PRIVADA,URL,grau,Ciències socials i jurídiques,HOME,Integrat,0.8902640453646904,0.06551479624559925
19-20,PRIVADA,URL,grau,Enginyeria i arquitectura,DONA,Integrat,0.8035213385462946,0.04047619047619043
19-20,PRIVADA,URL,grau,Enginyeria i arquitectura,HOME,Integrat,0.7584314352229767,0.053689229826136525
19-20,PRIVADA,URL,màster universitari,Arts i humanitats,DONA,Adscrit,0.833333333333333,0.25
19-20,PRIVADA,URL,màster universitari,Arts i humanitats,DONA,Integrat,0.875,0.0
19-20,PRIVADA,URL,màster universitari,Arts i humanitats,HOME,Adscrit,0.666666666666667,0.333333333333333
19-20,PRIVADA,URL,màster universitari,Arts i humanitats,HOME,Integrat,0.829787234042553,0.25
19-20,PRIVADA,URL,màster universitari,Ciències,DONA,Integrat,0.9716447743480348,0.0
19-20,PRIVADA,URL,màster universitari,Ciències,HOME,Integrat,0.9108604095214178,0.022727272727272724
19-20,PRIVADA,URL,màster universitari,Ciències de la salut,DONA,Integrat,0.8467550326295009,0.46924603174603163
19-20,PRIVADA,URL,màster universitari,Ciències de la salut,HOME,Integrat,0.8487913837535992,0.4505627705627706
19-20,PRIVADA,URL,màster universitari,Ciències socials i jurídiques,DONA,Integrat,0.9564633073447665,0.1218802777635427
19-20,PRIVADA,URL,màster universitari,Ciències socials i jurídiques,HOME,Integrat,0.9555337025483642,0.1488710236335406
19-20,PRIVADA,URL,màster universitari,Enginyeria i arquitectura,DONA,Integrat,0.8381297119285689,0.005555555555555556
19-20,PRIVADA,URL,màster universitari,Enginyeria i arquitectura,HOME,Integrat,0.79101626605173,0.026048026048026
19-20,PRIVADA,UVIC-UCC,grau,Arts i humanitats,DONA,Adscrit,0.934150682222662,0.0437956204379562
19-20,PRIVADA,UVIC-UCC,grau,Arts i humanitats,DONA,Integrat,0.9419610670511895,0.275449101796407
19-20,PRIVADA,UVIC-UCC,grau,Arts i humanitats,HOME,Adscrit,0.881161971830986,0.111111111111111
19-20,PRIVADA,UVIC-UCC,grau,Arts i humanitats,HOME,Integrat,0.855156431054461,0.30188679245283
19-20,PRIVADA,UVIC-UCC,grau,Ciències,DONA,Integrat,0.8735075263319331,0.1612554112554111
19-20,PRIVADA,UVIC-UCC,grau,Ciències,HOME,Integrat,0.8852697749823616,0.0555555555555555
19-20,PRIVADA,UVIC-UCC,grau,Ciències de la salut,DONA,Integrat,0.8682632009123755,0.09425269183335837
19-20,PRIVADA,UVIC-UCC,grau,Ciències de la salut,HOME,Integrat,0.7117149813027291,0.10802726926010683
19-20,PRIVADA,UVIC-UCC,grau,Ciències socials i jurídiques,DONA,Adscrit,0.9016190237448405,0.10348622339547915
